Date,Price,Open,High,Low,Vol.,Change %,Volume
12/5/2018,137.09,142.77,145,136.15,0.56K,-3.98%,560
12/4/2018,142.77,145.57,147.82,140,4.63K,-1.92%,4630
12/3/2018,145.57,153.98,156.71,141.11,1.55K,-5.46%,1550
12/2/2018,153.98,155.98,157.88,151.95,0.35K,-1.28%,350
12/1/2018,155.98,148.84,158.82,143.87,0.51K,4.80%,510
11/30/2018,148.84,155.77,157.91,147.59,0.88K,-4.45%,880
11/29/2018,155.77,158.62,218.33,149.81,0.81K,-1.80%,810
11/28/2018,158.62,143.5,165.38,143.5,1.85K,10.54%,1850
11/27/2018,143.5,142,149.5,129.01,1.22K,1.06%,1220
11/26/2018,142,151.85,153.15,136.53,0.62K,-6.49%,620
11/25/2018,151.85,149.19,154.99,131.26,1.77K,1.78%,1770
11/24/2018,149.19,159.59,168,146.26,2.39K,-6.52%,2390
11/23/2018,159.59,162.25,167.26,153.18,1.35K,-1.64%,1350
11/22/2018,162.25,177.7,181.45,162.25,0.48K,-8.69%,480
11/21/2018,177.7,171.69,179.7,165.17,0.99K,3.28%,990
11/20/2018,172.06,192.49,196.91,162.69,1.71K,-10.61%,1710
11/19/2018,192.49,235.26,235.26,191.06,1.31K,-18.18%,1310
11/18/2018,235.26,230.98,238.52,226.07,0.34K,1.85%,340
11/17/2018,230.98,229.96,233.01,227.14,0.12K,0.44%,120
11/16/2018,229.96,239.34,241.18,227.74,0.31K,-3.92%,310
11/15/2018,239.34,236.93,245.32,229.29,0.47K,1.02%,470
11/14/2018,236.93,266.82,270.79,231.1,1.15K,-11.20%,1150
11/13/2018,266.82,272.39,274.36,266.44,0.17K,-2.04%,170
11/12/2018,272.39,275.64,280.94,272.39,0.37K,-1.18%,370
11/11/2018,275.64,275,278.77,271.71,0.20K,0.23%,200
11/10/2018,275,276.45,280,271.51,0.22K,-0.52%,220
11/9/2018,276.45,278.11,280.83,274.65,0.15K,-0.60%,150
11/8/2018,278.11,283.42,285.97,274.64,0.18K,-1.87%,180
11/7/2018,283.42,288.53,293.76,283.42,0.23K,-1.77%,230
